,TESLA DIAGNOSTICS,Unnamed: 1,Unnamed: 2
1112,dose 1 mg),,
1113,,,
1114,361    E2           Estrogen / Estradiol/E2       ECLIA                  Serum(1ml)      2-8°C   IH             Daily      Same Day,500.00,
1115,,,
1116,362    FA           Folic Acid                    ECLIA                  Serum(1ml)      2-8°C   IH             Daily      Same Day,750.00,
1117,,,
1118,363    FERT         Ferritin                      ECLIA                  Serum(1ml)      2-8°C   IH             Daily      Same Day,800.00,
1119,,,
1120,364    FSH          FSH (Follicle Stimulating     ECLIA                  Serum(1ml)      2-8°C   IH             Daily      Same Day,500.00,
1121,Hormone ),,
1122,,,
1123,365    FT3          FT3                           ECLIA                  Serum(1ml)      2-8°C   IH             Daily      Same Day,450.00,
1124,,,
1125,366    FT4          FT4                           ECLIA                  Serum(1ml)      2-8°C   IH             Daily      Same Day,450.00,
1126,,,
1127,367    HBsAg(E)     HBsAg (ECLIA)                 ECLIA                  Serum(2ml)      2-8°C   IH             Daily      Same Day,500.00,
1128,,,
1129,Page 23 of 86,,
1130,IMMUNOASSAY,,
1131,,,
1132,SNo     Test         Name Of Test                  Methodology                 Sample/Volume    Temp    Referral Lab   Schedule   Turn ar,nd     MRP,
1133,Code                                                                                            Name                      time,,
1134,,,
1135,368    HCV(E)       HCV (ECLIA)                   ECLIA                       Serum(2ml)       2-8°C   IH             Daily      Same Da,500.00,
1136,,,
1137,369    HIV(E)       HIV ECLIA                     ECLIA                       Serum(2ml)       2-8°C   IH             Daily      Same Da,600.00,
1138,,,
1139,370    HIV(IV)(E)   HIV ECLIA (IV Generation )    ECLIA                       Serum(2ml)       2-8°C   IH             Daily      Same Da,600.00,
1140,,,
1141,"371    HOMA-IR      Homa IR (Fasting Insulin ,    ECLIA & Spectrophotometry   Plasma-NaF /     2-8°C   IH             Daily      Same Da",1100.00,
1142,FBS)                                                      Serum(1ml/1ml),,
1143,,,
1144,372    IgE-T        IgE - Total                   ECLIA                       Serum(1ml)       2-8°C   IH             Daily      Same Da,650.00,
1145,,,
1146,373    INSU-F       Insulin Fasting               ECLIA                       Serum(1ml)       2-8°C   IH             Daily      Same Da,650.00,
1147,,,
1148,374    INSU-P       Insulin Post Lunch            ECLIA                       Serum(1ml)       2-8°C   IH             Daily      Same Da,650.00,
1149,,,
1150,375    INSU-R       Insulin Random                ECLIA                       Serum(1ml)       2-8°C   IH             Daily      Same Da,650.00,
1151,,,
1152,376    LH           LH (Luteinizing Hormone)      ECLIA                       Serum(1ml)       2-8°C   IH             Daily      Same Da,500.00,
1153,,,
1154,377    PRLDIL       Prolactin (In Dilutions)                                  Serum()                  IH,2700.00,
1155,,,
1156,378    PROL         Prolactin                     ECLIA                       Serum(1ml)       2-8°C   IH             Daily      Same Da,550.00,
1157,,,
1158,379    PSA          PSA (Prostate Specific        ECLIA                       Serum(1ml)       2-8°C   IH             Daily      Same Da,700.00,
1159,Antigen) Total,,
1160,,,
1161,380    RUB-IgG      Rubella -IgG                  CLIA                        Serum(1ml)       2-8°C   IH             Daily      Same Da,600.00,
1162,,,
1163,381    T3           T3 ( Triiodothyronine)        ECLIA                       Serum(1ml)       2-8°C   IH             Daily      Same Da,250.00,
1164,,,
1165,382    T4           T4 (Thyroxine)                ECLIA                       Serum(1ml)       2-8°C   IH             Daily      Same Da,250.00,
1166,,,
1167,383    TESTO-T      Testosterone - Total          ECLIA                       Serum(1ml)       2-8°C   IH             Daily      Same Da,600.00,
1168,,,
1169,384    TFT          Thyroid Function Test (T3 T   ECLIA                       Serum(1ml)       2-8°C   IH             Daily      Same Da,500.00,
1170,4 TSH),,
1171,,,
1172,385    TSH          TSH (Thyroid Stimulating      ECLIA                       Serum(1ml)       2-8°C   IH             Daily      Same Da,250.00,
1173,Hormone),,
1174,,,
1175,386    TSH-3rd      TSH (3rd Generation)          ECLIA                       Serum(1ml)       2-8°C   IH             Daily      Same Da,400.00,
1176,,,
1177,387    vit-b12      Vitamin - B12                 ECLIA                       Serum(1ml)       2-8°C   IH             Daily      Same Da,700.00,
1178,,,
1179,388    VIT-D3       Vitamin D (25-Hydroxy)        ECLIA                       Serum(1ml)       2-8°C   IH             Daily      Same Da,1200.00,
1180,,,
1181,,,
1182,,,
1183,,,
1184,Page 24 of 86,,
1185,LABORATORY MEDICINE,,
1186,,,
1187,SNo     Test           Name Of Test                   Methodology             Sample/Volume         Temp    Referral Lab   Schedule   Tur,around     M,
1188,Code                                                                                                Name                      tim,,
1189,,,
1190,389    0S565          HCV (CMIA) - S062 (LP)                                 ---Select---(2ml)             Lalpath        Daily      5Da,175,00
1191,,,
1192,390    3 cell panel   Blood group Antibody                                   WB-EDTA & Serum               Ampath         Daily      5 d,s        220,00
1193,Screening (3 Cell Panel ) -                            (),,
1194,HM0165,,
1195,,,
1196,391    CPKMB          CPK-MB (CK-MB) - BC0088        Spectrophotometry       Serum(2ml)            2-8°C   Ampath         Daily      Sam,Day       50,00
1197,,,
1198,392    OS001          17-OHP (17-alpha Hydroxy       ELISA                   Serum(2ml)            2-8°C   Ampath         Daily      5 D,s         80,00
1199,Progesterone)-BC0001,,
1200,,,
1201,393    OS002          5-Hydroxy Indole Acetic Acid   Column Chromatography   24 Hrs. Urine(20m     2-8°C   Ampath         Daily      7 D,s        400,00
1202,(5-HIAA) - 24hrs Urine - BC                            l (24 hrs Urine,,
1203,0845                                                   Volume)),,
1204,,,
1205,394    OS003          5-Hydroxy Indole Acetic Acid   Column Chromatograph    Urine(20ml)           2-8°C   Ampath         Daily      7 D,s        360,00
1206,(5-HIAA) - Spot urine - BC00,,
1207,03,,
1208,,,
1209,395    OS004          ACE (Angiotensin               Spectrophotometry       Serum(2ml)            2-8°C   Ampath         Daily      5 D,s         80,00
1210,Convering Enzyme)-BC003,,
1211,6,,
1212,,,
1213,396    OS005          ACTH (Adreno                   ECLIA                   WB-EDTA Plasma(       2-8°C   Ampath         Daily      5 D,s        140,00
1214,Corticotrophic Hormone) -                              2ml),,
1215,BC0014,,
1216,,,
1217,397    OS006          ADA - Ascitic Fluid - BC000    Spectrophotometry       Ascitic Fluid(2 ml)   2-8°C   Ampath         Daily      5 D,s         60,00
1218,8,,
1219,,,
1220,398    OS007          ADA - Pericardial Fluid - BC   Spectrophotometry       Pericardial Fluid(2   2-8°C   Ampath         Daily      5 D,s         60,00
1221,0010                                                   ml),,
1222,,,
1223,399    OS008          ADA - Peritonial Fluid - BC0   Spectrophotometry       Peritoneal fluid(2m   2-8°C   Ampath         Daily      5 D,s         60,00
1224,011                                                    l),,
1225,,,
1226,400    OS009          ADA - Serum - BC0013           Spectrophotometry       Serum(2ml)            2-8°C   Ampath         Daily      5 D,s         60,00
1227,,,
1228,401    OS010          ADA -Synovial Fluid - BC02     Spectrophotometry       Synovial Fluid(2ml)   2-8°C   Ampath         Daily      5 D,s         60,00
1229,53,,
1230,,,
1231,402    OS011          ADA - CSF - BC0009             Spectrophotometry       CSF (1ml)(2ml)        2-8°C   Ampath         Daily      5 D,s         60,00
1232,,,
1233,403    OS012          ADA - Any Other Fluid - BC0    Spectrophotometry       Fluid(1ml)            2-8°C   Ampath         Daily      5 D,s         60,00
1234,253,,
1235,,,
1236,404    OS013          ADA - Pleural Fluid - BC001    Spectrophotometry       Pleural Fluid(2ml)    2-8°C   Ampath         Daily      5 D,s         60,00
1237,2,,
1238,,,
1239,,,
1240,,,
1241,Page 25 of 86,,
1242,LABORATORY MEDICINE,,
1243,,,
1244,SNo     Test    Name Of Test                   Methodology                  Sample/Volume         Temp     Referral Lab   Schedule   Turn,round,MRP
1245,Code                                                                                               Name                      time,,
1246,405    OS014   AFB Culture (Fluorescent       Fluorescent Based            Any Sample(NA)        2-8°C    Ampath         Daily      Inte,m- 2,00.00
1247,Method) (AP) - MB0098                                                                                                Days,",2,3,4,5",
1248,",6 W",ks,
1249,,,
1250,406    OS015   Zinc - Serum - BC0273          ICPMS                        Serum/EDTA            2-8°C    Ampath         Daily      7 Da,,00.00
1251,Plasma(2ml),,
1252,,,
1253,407    OS016   AFB Stain(Biopsy)              Microscopy                   BIOPSY IN SALINE      15-25°   Cpath          Daily      7 Da,,00.00
1254,(NA)                  C,,
1255,,,
1256,408    OS017   AFB/TB Culture followed by     MGIT Culture & MGIT-TBC ID   Any Sample(Excep      15-25°   Ampath         Daily      6 We,s,00.00
1257,MTb/MOTT identification -M     Test                         t WB-EDTA/Hepari      C,,
1258,B0184                                                       n and Any Sample),,
1259,,,
1260,409    OS018   AFP (Alpha Feto Protein) -     CLIA                         Fluid.(2ml (Amnioti   2-8°C    Ampath         Daily      5 Da,,00.00
1261,"Fluid                                                       c,Ascitic,CSF Fluid",,
1262,)),,
1263,,,
1264,410    OS019   AFP (Alpha Feto Protein)-Se    CLIA                         Serum(2ml)            2-8°C    Ampath         Daily      5 Da,,00.00
1265,rum - BC0028,,
1266,,,
1267,411    OS020   Allergy Panel - Drugs 12       Immuno CAP                   Serum(2ml)            2-8°C    Ampath         Daily      7 Da,1,00.00
1268,Parameters (AP) -SI0495,,
1269,,,
1270,412    OS021   Allergy Panel- Drugs 7         Immuno CAP                   Serum(2ml)            2-8°C    Ampath         Daily      7 Da,,00.00
1271,Parameters (AP) -SI0496,,
1272,,,
1273,413    OS022   Allergy -Any 10 Allergens (L   Immuno CAP Specific IgE      Serum(2ml)            2-8°C    Lalpath        Daily      15 D,s          1,00.00
1274,P) - Z545,,
1275,,,
1276,414    OS023   Allergy- Any 5 Allergens(LP)   Immuno CAP Specific IgE      Serum(2ml)            2-8°C    Lalpath        Daily      5 Da,,00.00
1277,- Z544,,
1278,,,
1279,415    OS024   Allergy-Cockroach (LP) - ZA    Immuno CAP Specific Assay    Serum(2ml)            2-8°C    Lalpath        Daily      5 Da,,00.00
1280,010,,
1281,,,
1282,416    OS025   Allergy-Dust Panel (           Immuno CAP                   Serum(2ml)            2-8°C    Ampath         Daily      1 We,,00.00
1283,"HouseDust,Mites &",,
1284,Cockroach) - SI0497,,
1285,,,
1286,417    OS026   Allergy-Fish (Machli) (LP) -   Immuno CAP Specific IgE      Serum(2ml)            2-8°C    Lalpath        Daily      5 Da,,00.00
1287,A031,,
1288,,,
1289,418    OS027   Allergy-Gluten (LP) - A019     Immuno CAP Specific Assay    Serum(2ml)            2-8°C    Lalpath        Daily      5 Da,,00.00
1290,,,
1291,"419    OS028   Allergy, Aspergillus           Fluoroescent Enzyme          Serum(2ml)            2-8°C    Lalpath        Daily      5 Da",,00.00
1292,Fumigatus (Lp) - A005          Immuno Assay,,
1293,,,
1294,"420    OS031   Amoebic Serology,IgG (LP)      Enzyme Immuno Assay          Serum(2ml)            2-8°C    Lalpath        Daily      7 Da",,00.00
1295,- S014,,
1296,,,
1297,,,
1298,Page 26 of 86,,
1299,LABORATORY MEDICINE,,
1300,,,
1301,SNo     Test    Name Of Test                   Methodology                 Sample/Volume         Temp    Referral Lab   Schedule   Turn a,und     MRP,
1302,Code                                                                                             Name                      time,,
1303,,,
1304,421    OS032   Anti MOG (Anti NMO Panel)      IFA                         Serum(2 ml)           2-8°C   Lalpath        Daily      7 Days,8000.0,
1305,(LP) - S266,,
1306,,,
1307,422    OS033   Bordetella Pertussis -IgG      EIA                         Serum(2ml)            2-8°C   Ampath         Daily      10 Day,3600.0,
1308,antibodies (Quantitative) -,,
1309,SI0423,,
1310,,,
1311,423    OS034   ANA Titres (IFA) -SI0012       IFA                         Serum(2ml)            2-8°C   Ampath         Daily      5 Days,1000.0,
1312,,,
1313,424    OS035   ANCA -C (ANCA-PR3)-SI05        EIA                         Serum(2ml)            2-8°C   Ampath         Daily      5 Days,800.0,
1314,28,,
1315,,,
1316,425    OS036   ANCA (Anti Neutrophilic        EIA                         Serum(2ml)            2-8°C   Ampath         Daily      5 Days,1600.0,
1317,Cytoplasmic Antibodies) -,,
1318,SI0063,,
1319,,,
1320,426    OS037   ANCA-P (ANCA-MPO)-SI05         EIA                         Serum(2ml)            2-8°C   Ampath         Daily      5 Days,800.0,
1321,27,,
1322,,,
1323,427    OS038   Anti CCP - BC0038              ECLIA                       Serum(2ml)            2-8°C   Ampath         Daily      5 Days,1200.0,
1324,,,
1325,428    OS039   ANTI IA-2A (Insulinoma         EIA                         Serum(2ml)            2-8°C   Lalpath        Daily      10 Day,6000.0,
1326,Associated Antigen) (LP) - S,,
1327,296,,
1328,,,
1329,429    OS040   ASCA (Anti Saccharomyces       EIA                         Serum(2ml)            2-8°C   Lalpath        Daily      10 Day,3000.0,
1330,"Cerevisiae Antibody), IgA &",,
1331,IgG Panel (LP) - Z675,,
1332,,,
1333,430    OS041   ASMA (Anti Smooth Muscle       IFA                         Serum(2ml)            2-8°C   Ampath         Daily      5 Days,1200.0,
1334,Antibody )-Screen - SI0064,,
1335,,,
1336,431    OS042   ASMA (Anti Smooth Muscle       IFA                         Serum(2ml)            2-8°C   Ampath         Dail;y     5 Days,1600.0,
1337,Antibody) -Titre - SI0017,,
1338,,,
1339,432    OS043   Biotinidase Deficiency -       Spectrophotometry           EDTA-WB(3ml)          2-8°C   Ampath         Daily      5 Days,5900.0,
1340,Quantitative - BC0539,,
1341,,,
1342,433    OS044   Acetone (Ketones)- Serum-      Biochemistry                Serum(2ml)            2-8°C   Ampath         Daily      5 Days,1000.0,
1343,BC0316,,
1344,,,
1345,434    OS045   Catecholamines - Spot          High Performance Liquid     Urine(20ml)           2-8°C   Lalpath        Daily      7 Days,5400.0,
1346,Urine (LP) - U043              Chromatography,,
1347,,,
1348,435    OS046   Acetyl Choline Receptor        RIA                         Serum(2ml)            2-8°C   Ampath         Daily      7 Days,3000.0,
1349,Antibody -SI0107,,
1350,,,
1351,436    OS047   Acid Fast Bacilli              Fluorescent based Culture   Significant Growth(   2-8°C   Ampath         Daily      Same D,8000.0,
1352,Susceptibility - 05 Drugs -    and Sensitivity             NA),,
1353,MB0214,,
1354,,,
1355,Page 27 of 86,,
1356,LABORATORY MEDICINE,,
1357,,,
1358,SNo     Test    Name Of Test                  Methodology                 Sample/Volume         Temp    Referral Lab   Schedule   Turn ar,nd      MRP,
1359,Code                                                                                            Name                      time,,
1360,,,
1361,437    OS048   Acid Fast Bacilli             Fluorescent based Culture   Significant Growth(   2-8°C   Ampath         Daily      25 Days,13000.0,
1362,Susceptibility - 10 Drugs-    and Sensitivity             NA),,
1363,MB0215,,
1364,,,
1365,438    OS049   Acid Fast Bacilli             Fluorescent based Culture   Significant Growth(   2-8°C   Ampath         Daily      25 Days,15000.0,
1366,Succeptibility - 13 Drugs -   and Sensitivity             NA),,
1367,MB0216,,
1368,,,
1369,439    OS050   Acid Phosphatase -            Spectrophotometry           Serum(2ml)            2-8°C   Ampath         Daily      5 Days,700.0,
1370,Prostatic Fraction - BC0006,,
1371,,,
1372,440    OS051   Acid Phosphatase Total        Spectrophotometry           Serum(2ml)            2-8°C   Ampath         Daily      5 Days,700.0,
1373,and Prostatic - BC0005,,
1374,,,
1375,441    OS052   Acid Phosphatase - Total -    Spectrophotometry           Serum(2ml)            2-8°C   Ampath         Daily      5 Days,600.0,
1376,BC0007,,
1377,,,
1378,442    OS053   Alcohol (Ethanol)             Biochemical                 Urine(20ml)           2-8°C   Ampath         Daily      5 Days,1800.0,
1379,Quantitative -Urine -BC002,,
1380,2,,
1381,,,
1382,443    OS054   Alcohol (Ethanol)             Biochemical                 Serum(2ml)            2-8°C   Ampath         Daily      5 Days,1800.0,
1383,Quantitative - Serum -BC00,,
1384,21,,
1385,,,
1386,444    OS055   Aldolase -BC0023              Spectrophotometry           Serum(2ml)            2-8°C   Ampath         Daily      5 Days,1000.0,
1387,,,
1388,445    OS056   Aldosterone (LP) - R049       CLIA                        Serum(2ml)            2-8°C   Lalpath        Daily      5 Days,1400.0,
1389,,,
1390,446    OS057   Aldosterone -24 hr Urine (L   CLIA                        24 Hrs. Urine(20m     2-8°C   Lalpath        Daily      10 Days,2000.0,
1391,P) - U039                                                 l (24 hrs Urine,,
1392,Volume)),,
1393,,,
1394,447    OS058   Aldosterone/plasma Renin      Radioimmunoassay            WB-EDTA & Serum       2-8°C   Ampath         Daily      10 Days,8600.0,
1395,Activity Ratio -BC0495                                    (3ml),,
1396,,,
1397,448    OS059   Alpha-1 -Antitrypsin -BC02    IT/Nephlometry              Serum(2ml)            2-8°C   Ampath         Daily      5 Days,2600.0,
1398,86,,
1399,,,
1400,449    OS060   Aluminium -BC0855             ICPMS                       EDTA PLASMA/SE        2-8°C   Ampath         Daily      5 Days,2800.0,
1401,RUM(3ml),,
1402,,,
1403,450    OS061   Aluminum - 24hrs Urine -B     ICPMS                       24 Hrs. Urine(20m     2-8°C   Ampath         Daily      5 Days,3500.0,
1404,C0854                                                     l (24 hrs Urine,,
1405,Volume)),,
1406,,,
1407,451    OS062   Aluminum - Spot Urine -BC     ICPMS                       Urine(20ml)           2-8°C   Ampath         Daily      5 Days,3300.0,
1408,0856,,
1409,,,
1410,,,
1411,,,
1412,Page 28 of 86,,
1413,LABORATORY MEDICINE,,
1414,,,
1415,SNo     Test    Name Of Test                     Methodology             Sample/Volume        Temp    Referral Lab   Schedule   Turn arou,MRP,
1416,Code                                                                                          Name                      time,,
1417,452    OS063   Aminolevulinic Acid (5-ALA)      Column Chromatography   Urine(20ml)          2-8°C   Ampath         Daily      10 Days,5200.00,
1418,- Spot Urine -BC0509,,
1419,,,
1420,453    OS064   Aminolevulinic Acid (5-ALA)      Column Chromatography   Urine(20ml (24 hrs   2-8°C   Ampath         Daily      10 Days,5200.00,
1421,-24hrs Urine -BC0508                                     Urine Volume)),,
1422,,,
1423,454    OS065   Ammonia - BC0250                 Spectrophotometry       EDTA/Plasma(3ml      2-8°C   Ampath         Daily      5 Days,1200.00,
1424,),,
1425,,,
1426,455    OS066   Amphetamine -BC0595              Flow Chromatography     Urine(20ml)          2-8°C   Ampath         Daily      5 Days,1000.00,
1427,,,
1428,456    OS067   Androstenedione (LP)-R06         CLIA                    Serum(2ml)           2-8°C   Ampath         Daily      7 Days,1500.00,
1429,0,,
1430,,,
1431,457    OS068   Anti Diuretic Hormone (AD        RIA                     EDTA-WB(3ml)         2-8°C   Ampath         Daily      10 Days,5800.00,
1432,H) / Vasopressin -BC0514,,
1433,,,
1434,458    OS069   Anti Dnase B (Antideoxyrib       Latex Enhanced          Serum(2ml)           2-8°C   Lalpath        Daily      7 Days,1800.00,
1435,onuclease B) (LP) - B075         Nephelometry,,
1436,,,
1437,459    OS070   Anti Gliadin IgA Antibodies -    Enzye Immunoassay       Serum(2ml)           2-8°C   Ampath         Daily      7 Days,2500.00,
1438,SI0345,,
1439,,,
1440,460    OS071   Anti Gliadin IgG Antibodies -    Enzye Immunoassay       Serum(2ml)           2-8°C   Ampath         Daily      7 Days,2500.00,
1441,SI0346,,
1442,,,
1443,461    OS072   Anti Islet Cell Antibody -SI04   IFA                     Serum(2ml)           2-8°C   Ampath         Daily      5 Days,2600.00,
1444,60,,
1445,,,
1446,462    OS073   Jo-1 Antibody - SI0672           EIA                     Serum(2ml)           2-8°C   Ampath         Dail;y     7 Days,2000.00,
1447,,,
1448,463    OS074   Anti Mitochondrial Antibody -    Immuno Fluoresence      Serum(2ml)           2-8°C   Ampath         Daily      5 Days,2000.00,
1449,(IFA ) - SI0524                  Microscopy,,
1450,,,
1451,"464    OS075   Anti Phospholipid Ab (IgG,I      ELISA                   Serum(2ml)           2-8°C   Ampath         Daily      5 Days",1500.00,
1452,gM)- SI0015/SI0016,,
1453,,,
1454,465    OS076   Anti Phospholipid Ab( IgA) -     ELISA                   Serum(2ml)           2-8°C   Ampath         Daily      5 Days,1600.00,
1455,SI0685,,
1456,,,
1457,466    OS077   Anti Phospholipid Ab (IgG) -     ELISA                   Serum(2ml)           2-8°C   Ampath         Daily      5 Days,750.00,
1458,SI0015,,
1459,,,
1460,467    OS078   Anti Phospholipid Ab( IgM ) -    ELISA                   Serum(2ml)           2-8°C   Ampath         Daily      5 Days,750.00,
1461,SI0016,,
1462,,,
1463,468    OS079   Anti Soluble Liver Antigen (S    EIA                     Serum(2ml)           2-8°C   Ampath         Daily      5 Days,2600.00,
1464,LA)- SI0084,,
1465,,,
1466,469    OS080   Anti Sperm Antibodies -SI03      EIA                     Serum(2ml)           2-8°C   Ampath         Daily      7 Days,1000.00,
1467,60,,
1468,,,
1469,,,
1470,Page 29 of 86,,
1471,LABORATORY MEDICINE,,
1472,,,
1473,SNo     Test    Name Of Test                     Methodology              Sample/Volume       Temp     Referral Lab   Schedule   Turn aro,d     MRP,
1474,Code                                                                                           Name                      time,,
1475,,,
1476,470    OS081   Anti Thrombin III (Antigenic)    Radio Immune Diffusion   PLASMA CITRATE(     Freeze   Ampath         Daily      10 Days,7000.00,
1477,- HM0164                                                  Double              r,,
1478,Centrifuged,,
1479,Citrated Plasma(2,,
1480,ml)),,
1481,,,
1482,471    OS082   Anti Thrombin III- Functional    Chromogenic Assay        PLASMA CITRATE(     Freeze   Lalpath        Daily      5 Days,2200.00,
1483,(LP) - H101                                               Double              r,,
1484,Centrifuged,,
1485,Citrated Plasma(2,,
1486,ml)),,
1487,,,
1488,472    OS083   Clostridium Difficile Toxin (A   Rapid EIA                Stool(2ml)          2-8°C    Ampath         Daily      5 Days,3200.00,
1489,P) - MB0017,,
1490,,,
1491,473    OS084   Anti ds-DNA Antibody- SI000      ELISA                    Serum(2ml)          2-8°C    Ampath         Daily      5 Days,1200.00,
1492,6,,
1493,,,
1494,474    OS085   Anti ds-DNA Antibody - IFA-S     IFA                      Serum(2ml)          2-8°C    Ampath         Daily      5 Days,2500.00,
1495,I0005,,
1496,,,
1497,475    OS086   Anti-Aquaporin-4 / NMO           IFA                      Serum(2ml)          2-8°C    Ampath         Daily      7 Days,5800.00,
1498,Antibodies -SI0106,,
1499,,,
1500,476    OS087   ApolipoProtein B (APO-B) -       Immunoturbidometry       Serum(2ml)          2-8°C    Ampath         Daily      5 Days,500.00,
1501,BC0042,,
1502,,,
1503,477    OS088   Apolipoprotein A1 (APO-A1)       Immunoturbidometry       Serum(2ml)          2-8°C    Ampath         Daily      5 Days,500.00,
1504,-BC0041,,
1505,,,
1506,478    OS089   Arsenic - Blood - BC0518         ICPMS                    WB-EDTA Plasma(     2-8°C    Ampath         Daily      5 Days,3800.00,
1507,3ml),,
1508,,,
1509,479    OS090   Arsenic - 24 hrs Urine - BC      ICPMS                    24 Hrs. Urine(20m   2-8°C    Ampath         Daily      5 Days,3800.00,
1510,0519                                                      l (24 hrs Urine,,
1511,Volume)),,
1512,,,
1513,480    OS091   Arsenic - Spot Urine - BC04      ICPMS                    Urine(20ml)         2-8°C    Ampath         Daily      5 Days,3800.00,
1514,43,,
1515,,,
1516,481    OS092   Aspergillus Specific IgE (M      ELISA                    Serum(2ml)          2-8°C    Medicis        Daily      7 Days,1600.00,
1517,S),,
1518,,,
1519,482    OS093   Aspergillus AB IgG - SI0102      ELISA                    Serum(2ml)          2-8°C    Ampath         Daily      10 Days,2800.00,
1520,,,
1521,483    OS094   Aspergillus AB IgM - SI0103      ELISA                    Serum(2ml)          2-8°C    Ampath         Daily      10 Days,3000.00,
1522,,,
1523,484    OS095   B-Type Natriuretic Peptide (     CLIA                     WB-EDTA Plasma(     2-8°C    Lalpath        Daily      5 Days,2400.00,
1524,BNP) (LP) - B147                                          3ml),,
1525,,,
1526,,,
1527,Page 30 of 86,,
1528,LABORATORY MEDICINE,,
1529,,,
1530,SNo     Test    Name Of Test                   Methodology               Sample/Volume       Temp    Referral Lab   Schedule   Turn aroun,MRP,
1531,Code                                                                                         Name                      time,,
1532,,,
1533,485    OS096   BCR - ABL Quantitative -PC     Multiplex Real-Time PCR   EDTA-WB(3ml)        2-8°C   Lalpath        Daily      7 Days,7200.00,
1534,R (LP) -N035,,
1535,,,
1536,486    OS097   BETA 2 Glycoprotein 1-(IgG)    ELISA                     Serum(2ml)          2-8°C   Ampath         Daily      7 Days,1500.00,
1537,-SI0020,,
1538,,,
1539,487    OS098   BETA 2 Glycoprotein1 - (IgA)   ELISA                     Serum(2ml)          2-8°C   Ampath         Daily      7 Days,1500.00,
1540,-SI0454,,
1541,,,
1542,488    OS099   BETA 2 Glycoprotein1- (IgM)    ELISA                     Serum(2ml)          2-8°C   Ampath         Daily      7 Days,1500.00,
1543,-SI0455,,
1544,,,
1545,"489    OS100   Beta 2 Glycoproteins1-(IgG,    ELISA                     Serum(2ml)          2-8°C   Ampath         Daily      7 Days",4000.00,
1546,"IgM,IgA)",,
1547,,,
1548,490    OS101   BETA HCG(Free) -BC0251         CLIA                      Serum(2ml)          2-8°C   Ampath         Daily      5 Days,1200.00,
1549,,,
1550,491    OS103   Barbiturates-Urine - BC059     Flow Chromatography       Urine(20ml)         2-8°C   Ampath         Daily      5 Days,800.00,
1551,6,,
1552,,,
1553,492    OS104   Benzodiazepine-Urine (LP)      Lateral Flow              Urine(20ml)         2-8°C   Lalpath        Daily      5 Days,700.00,
1554,- K002                         Chromatography,,
1555,,,
1556,493    OS105   Beta 2 Microglobulin -Seru     ELFA                      Serum(2ml)          2-8°C   Ampath         Daily      5 Days,1800.00,
1557,m - BC0045,,
1558,,,
1559,494    OS106   Bicarbonate (Carbon            Spectrophotometry         Serum(2ml)          2-8°C   Ampath         Daily      5 Days,300.00,
1560,Dioxide) -Serum -BC0048,,
1561,,,
1562,495    OS107   Bile Acids - Total -BC0306     Photometry                Serum(2ml)          2-8°C   Ampath         Daily      7 Days,2600.00,
1563,,,
1564,496    OS109   Brucella IgG - SI0366          EIA                       Serum(2ml)          2-8°C   Ampath         Daily      5 Days,1000.00,
1565,,,
1566,497    OS110   Brucella IgM - SI0083          EIA                       Serum(2ml)          2-8°C   Ampath         Daily      5 Days,1000.00,
1567,,,
1568,498    OS111   C-Peptide - BC0093             ECLIA                     Serum(2ml)          2-8°C   Ampath         Daily      5 Days,800.00,
1569,,,
1570,499    OS112   C3 (Complement 3) -BC00        Immunoturbidometry        Serum(2ml)          2-8°C   Ampath         Daily      5 Days,500.00,
1571,61,,
1572,,,
1573,500    OS113   C4 (Complement 4) -BC00        Immunoturbometry          Serum(2ml)          2-8°C   Ampath         Daily      5 Days,500.00,
1574,62,,
1575,,,
1576,501    OS114   CA 15.3 (Breast Cancer         ECLIA                     Serum(2ml)          2-8°C   Ampath         Daily      5 DEays,800.00,
1577,Marker) -BC0064,,
1578,,,
1579,502    OS115   CA 19.9 (Pancreatic Cancer     ECLIA                     Serum(2ml)          2-8°C   Ampath         Daily      5 Days,800.00,
1580,Marker) -BC0065,,
1581,,,
1582,503    OS116   CD3 / CD4 / CD8 Count          Flwcytometry              WB-EDTA ( 3 ml)(3   2-8°C   Ampath         Daily      5 Days,1500.00,
1583,ml),,
1584,Page 31 of 86,,
1585,LABORATORY MEDICINE,,
1586,,,
1587,SNo     Test    Name Of Test                    Methodology              Sample/Volume       Temp    Referral Lab   Schedule   Turn aroun,MRP,
1588,Code                                                                                         Name                      time,,
1589,,,
1590,504    OS117   CD4 Count -HM0063               Flowcytometry            WB-EDTA ( 3 ml)(3   2-8°C   Ampath         Daily      5 Days,700.00,
1591,ml),,
1592,,,
1593,505    OS118   CD4&CD8 Count -HM0116           Flowcytometry            WB-EDTA ( 3 ml)(3   2-8°C   Ampath         Daily      5 Days,1200.00,
1594,ml),,
1595,,,
1596,506    OS119   CD4/CD8 Count-Body Fluid        Flow Cytometery          Fluid.(2ml)         2-8°C   Ampath         Daily      5 Days,2300.00,
1597,- HM0273,,
1598,,,
1599,507    OS120   CD4&CD8 Lymphocyte              Flow Cytometery          WB-EDTA ( 3 ml)(3   2-8°C   Ampath         Daily      5 Days,2500.00,
1600,Subsetting (CD45 /CD3 /C                                 ml),,
1601,D4 /CD8 ) - HM0013,,
1602,,,
